2020-12-06 21:16:30,476 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "POST /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync HTTP/1.1" 200 14
2020-12-06 21:16:30,477 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:30,488 selenium.webdriver.remote.remote_connection DEBUG    POST http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync {"script": "window.scrollTo(0, document.body.scrollHeight);", "args": []}
2020-12-06 21:16:30,492 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "POST /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync HTTP/1.1" 200 14
2020-12-06 21:16:30,493 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:30,594 root         DEBUG    WebPageInfo - getting challenge info.
2020-12-06 21:16:30,594 selenium.webdriver.remote.remote_connection DEBUG    POST http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/elements {"using": "css selector", "value": ".challengecard-title"}
2020-12-06 21:16:30,654 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "POST /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/elements HTTP/1.1" 200 1117
2020-12-06 21:16:30,655 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:30,657 selenium.webdriver.remote.remote_connection DEBUG    GET http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/element/0fed08d6-d016-43fe-a4d8-72a6f6676a55/text {"id": "0fed08d6-d016-43fe-a4d8-72a6f6676a55"}
2020-12-06 21:16:30,674 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "GET /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/element/0fed08d6-d016-43fe-a4d8-72a6f6676a55/text HTTP/1.1" 200 81
2020-12-06 21:16:30,674 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:30,675 root         INFO     Parsing - 1
2020-12-06 21:16:30,675 root         DEBUG    Basics of Sets and Relations #1
EasyMax Score: 5Success Rate: 90.73%
2020-12-06 21:16:30,675 root         INFO     Parsing information for databases - 1_relational_algebra, 1
2020-12-06 21:16:30,675 root         DEBUG    Parsing text:

Basics of Sets and Relations #1
EasyMax Score: 5Success Rate: 90.73%


2020-12-06 21:16:30,675 root         DEBUG    Challenge num 01
2020-12-06 21:16:30,675 root         DEBUG    Name Basics of Sets and Relations #1
2020-12-06 21:16:30,675 root         DEBUG    - Locating... Basics of Sets and Relations #1
2020-12-06 21:16:30,677 root         DEBUG    NOTE: Basics of Sets and Relations #1 already saved


2020-12-06 21:16:30,677 selenium.webdriver.remote.remote_connection DEBUG    GET http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/element/ab73302a-e3c4-473d-b51a-0bff61ed18e9/text {"id": "ab73302a-e3c4-473d-b51a-0bff61ed18e9"}
2020-12-06 21:16:30,691 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "GET /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/element/ab73302a-e3c4-473d-b51a-0bff61ed18e9/text HTTP/1.1" 200 81
2020-12-06 21:16:30,692 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:30,692 root         INFO     Parsing - 2
2020-12-06 21:16:30,692 root         DEBUG    Basics of Sets and Relations #2
EasyMax Score: 5Success Rate: 97.48%
2020-12-06 21:16:30,692 root         INFO     Parsing information for databases - 1_relational_algebra, 2
2020-12-06 21:16:30,693 root         DEBUG    Parsing text:

Basics of Sets and Relations #2
EasyMax Score: 5Success Rate: 97.48%


